Name,ID
180 Degrees Consulting at UBC,1
AMS AI Club at UBC,2
UBC AIESEC,3
AMS Armenian Student Association at UBC,4
AMS Asian Brush Calligraphy at UBC,5
AMS BPSc Student Association at UBC,6
AMS Baking Club at UBC,7
AMS Balkan Student Association,8
AMS Belly Dance Club at UBC,9
AMS Sports Business Association @ UBC,10
AMS StartUps,11
AMS Students of the Caribbean (SOCA) at UBC,12
AMS Sudanese Students Union at UBC,13
AMS Swim Club at UBC,14
AMS Taoist Practitioner Club at UBC,15
AMS Taylor Swift Club at UBC,16
AMS Tennis Circle @UBC,17
AMS The FentaNIL Project @ UBC,18
AMS Thunderbirds Cheer at UBC,19
AMS Transfer Student Association @ UBC,20
AMS Transplant Club at UBC,21
AMS Turkish Student Association at UBC,22
AMS UBC Orthodox Christian Fellowship,23
AMS UBC Quantum Club @UBC,24
AMS UBC Synapse,25
AMS UBC Taekwondo,26
AMS UBC Taiwan Association at UBC,27
AMS UBCROBOMASTER @ UBC,28
AMS Ukrainian Student Union at UBC,29
AMS Volleyball Club at UBC,30
AMS Women in Economics and Policy @ UBC,31
AMS Women's Health Research Club at UBC,32
AMS Young Greens at UBC,33
UBC Accounting Club,34
AMS Actuarial Science Club @ UBC,35
UBC Africa Awareness Initiative,36
African Awareness Initiative,37
UBC Agape Street Missions,38
Alma Mater Society,39
Alpha Phi Omega,40
AMS Alternative Community Club at UBC,41
Amnesty International UBC,42
The AMS Anatomy and Dissection Club at UBC,43
Ancient Mediterranean and Near Eastern Student Association,44
UBC Anime Club,45
AMS Anthropology Students Association (ASA) at UBC,46
AMS Applied Machine Learning & Art @ UBC,47
UBC Aqua Society,48
AMS Arab Student Association at UBC,49
Art History Students' Association,50
Ascend Leadership,51
Association of Canadian Archivists Student Chapter,52
Association of Korean Canadian Scientists and Engineers,53
AMS Autism Associates Club at UBC,54
AMS BC Young Liberals at UBC,55
UBC BC Water & Waste Association Student Chapter,56
BOLT UBC,57
BRASA UBC - Brazilian Student Association,58
Bachelor + Masters of Management Students Association,59
Bachelor of Computer Science Student Association,60
Bachelor of Pharmaceutical Sciences Student Association,61
AMS Barista Club at UBC,62
Beads and Crafts,63
Biochemistry Student Association (BSA),64
UBC Biological Sciences Society,65
Biomedical Engineering Graduate Association,66
Biomedical Students Association,67
Black Muslim Collective,68
Born For More,69
UBC Boxing Club,70
CANFAR Club,71
CAPSI UBC,72
AMS Comedy Club at UBC,73
