Name,Link,ID
180 Degrees Consulting at UBC,https://amsclubs.ca/180-degrees-consulting/,1
AMS AI Club at UBC,https://amsclubs.ca/ai-club/,2
UBC AIESEC,https://amsclubs.ca/aiesec/,3
AMS Armenian Student Association at UBC,https://amsclubs.ca/armenian-student-association/,4
AMS Asian Brush Calligraphy at UBC,https://amsclubs.ca/asian-brush-calligraphy/,5
AMS BPSc Student Association at UBC,https://amsclubs.ca/bpsc-student-association/,6
AMS Baking Club at UBC,https://amsclubs.ca/baking-club/,7
AMS Balkan Student Association,https://amsclubs.ca/balkan-student-association/,8
AMS Belly Dance Club at UBC,https://amsclubs.ca/belly-dance-club/,9
AMS Sports Business Association @ UBC,https://amsclubs.ca/sports-analytics-club/,10
AMS StartUps,https://amsclubs.ca/startups/,11
AMS Students of the Caribbean (SOCA) at UBC,https://amsclubs.ca/students-of-the-caribbean/,12
AMS Sudanese Students Union at UBC,https://amsclubs.ca/sudanese-students-union/,13
AMS Swim Club at UBC,https://amsclubs.ca/swim-club/,14
AMS Taoist Practitioner Club at UBC,https://amsclubs.ca/taoist-practitioner-club/,15
AMS Taylor Swift Club at UBC,https://amsclubs.ca/taylor-swift-club/,16
AMS Tennis Circle @UBC,https://amsclubs.ca/tennis-circle/,17
AMS The FentaNIL Project @ UBC,https://amsclubs.ca/fentanil-project/,18
AMS Thunderbirds Cheer at UBC,https://amsclubs.ca/thunderbirds-cheer/,19
AMS Transfer Student Association @ UBC,https://amsclubs.ca/transfer-student-association/,20
AMS Transplant Club at UBC,https://amsclubs.ca/transplant-club/,21
AMS Turkish Student Association at UBC,https://amsclubs.ca/turkish-student-association/,22
AMS UBC Orthodox Christian Fellowship,https://amsclubs.ca/ubc-orthodix-christian-fellowship/,23
AMS UBC Quantum Club @UBC,https://amsclubs.ca/quantum-club/,24
AMS UBC Synapse,https://amsclubs.ca/ubc-synapse/,25
AMS UBC Taekwondo,https://amsclubs.ca/ubc-taekwondo/,26
AMS UBC Taiwan Association at UBC,https://amsclubs.ca/taiwan-association/,27
AMS UBCROBOMASTER @ UBC,https://amsclubs.ca/ubcrobomaster/,28
